CLIENT_IDENTIFIER,ISSUER_NAME,ISSUERID,CIK_NUM,ISSUER_ISIN,ISSUER_LEI,ISSUER_TICKER,AE_DIST_MAX_REV_PCT,ESG_CONTROVERSIES_COVERED,CARBON_EMISSIONS_SCOPE_3_TOTAL,GENERAT_THERMAL_COAL_PCT,FIREARM_PROD_MAX_REV_PCT,IVA_COMPANY_RATING,EU_TAXONOMY_ELIGIBLE_MAX_REV,ENVIRONMENT_TOXIC_FLAG,AE_PROD_MAX_REV_PCT,CONTRO_WEAP_CBLMBW_ANYTIE,FIREARM_RET_MAX_REV_PCT,ENERGY_CONSUMP_INTEN_EUR,GENDER_PAY_GAP_RATIO,MET_COAL_MAX_REV_PCT,PCT_NONRENEW_CONSUMP_PROD,PROD_CIV_ARMS_AUTO,ENVIRONMENT_LAND_FLAG,PCT_TOTL_ERGY_CONSUMP_NONRENEW,CARBON_EMISSIONS_SCOPE_1,CARBON_EMISSIONS_SCOPE_2,TOB_DIST_MAX_REV_PCT,PCT_TOTL_ERGY_PRODUCT_NONRENEW,CARBON_EMISSIONS_SALES_EUR_SCOPE123_INTEN,LABOR_COMPLIANCE_CORE,FEMALE_DIRECTORS_PCT,ANI_TEST_POLICY,OPS_PROT_BIODIV_AREAS,IVA_RATING_TREND,LABOR_DDIL_POL_ILO,ACTIVE_FF_SECTOR_EXPOSURE,ENVIRONMENT_CLIMATE_FLAG,WATER_EM_EFF_METRIC_TONS,OVERALL_FLAG,MECH_UN_GLOBAL_COMPACT,CARBON_EMISSIONS_EVIC_EUR_SCOPE123_INTEN,THERMAL_COAL_MAX_REV_PCT,TOTL_ERGY_CONSUMP_RENEW_GWH,OPS_PROT_BIODIV_CONTROVS,ANI_FACTORY_FARM,UNGC_COMPLIANCE,EST_EU_TAXONOMY_MAX_REV,PRED_LEND_MAX_REV,TOTL_ERGY_CONSUMP_NONRENEW_GWH,TOTL_ERGY_CONSUMP_GWH,CWEAP_TIE,FUR_PRODUCER,NON_PHARMCEUTICAL_TESTER,TOB_SUPP_MAX_REV_PCT,CONV_OIL_GAS_MAX_REV_PCT,HAZARD_WASTE_METRIC_TON,WEAP_MAX_REV_PCT,CARBON_EMISSIONS_SCOPE123
"","""Creo Medical Group PLC""","""IID000000002783845""",,"""GB00BZ1BLL44""","""213800H188ZDCWWXFA21""","""CREO""",,false,41407.53,,,,100.0,,,"""No""",,,,,,,"""Green""",,132.0,490.0,,,1402.4642129287834,"""Pass""",,,"""Not Disclosed""",,"""Yes""","""Not Disclosed""",,,"""Green""","""No Evidence""",125.2332439380005,,,"""Not Disclosed""",,"""Pass""",,,,,,,,,,,,42029.52899803235
"","""Hoshine Silicon Industry Co., Ltd.""","""IID000000002783957""",,"""CNE100002V10""","""300300RQV6XQFC4OVX72""","""603260""",,true,5334682.87,,,,99.99,"""Green""",,"""No""",,,,,,,"""Green""",,962359.0,460780.0,,,2269.7169961973623,"""Fail""",55.5555555556,,"""Not Disclosed""",,"""Not Disclosed""","""Not Disclosed""","""Green""",,"""Red""","""No Evidence""",333.8837447141639,,,"""Not Disclosed""",,"""Fail""",0.0,,,,,,,,,,,6683250.752820006
"","""PROSEGUR CASH, S.A.""","""IID000000002783985""",,"""ES0105229001""","""9598005HY5DEFPU2SM35""","""CASH""",,true,262082.69,,,,0.0,"""Green""",,"""No""",,,,,,,"""Green""",,122486.0,12028.0,,,262.77009936949514,"""Pass""",33.3333333333,,"""Not Disclosed""",,"""Yes""","""Not Disclosed""","""Green""",,"""Green""","""No Evidence""",217.2066580033287,,,"""Not Disclosed""",,"""Pass""",0.0,,,,,,,,,,,399097.6854818962
"","""EXOR N.V.""","""IID000000002784170""",,"""NL0012059018""","""5493002ENHZ6NYET7405""","""EXO""",,true,5539697.69,,,,0.0,"""Green""",,"""No""",,0.06,,,,,"""Green""",,354097.0,571710.0,,,154.51449531306335,"""Pass""",40.0,,"""Not Disclosed""",,"""Yes""","""Not Disclosed""","""Green""",,"""Yellow""","""No Evidence""",82.81819183091606,,,"""Not Disclosed""",,"""Pass""",0.0,,,1884.444445952,,,,,,,,6465504.6866579885
"","""ALTAIR ENGINEERING INC.""","""IID000000002784622""",,"""US0213691035""",,"""ALTR""",,true,66582.99,,,,0.0,"""Green""",,"""No""",,,,,,,"""Green""",,305.0,3645.0,,,141.54125892542197,"""Pass""",42.8571428571,,"""Not Disclosed""",,"""Yes""","""Not Disclosed""","""Green""",,"""Green""","""No Evidence""",11.846212799862505,,,"""Not Disclosed""",,"""Pass""",1.08,,,,,,,,,,,66237.6250219192
"","""DINO POLSKA SPOLKA AKCYJNA""","""IID000000002784652""",,"""PLDINPL00011""","""259400H4L81SMPRTW956""","""DNP""",,true,792830.99,,,,0.0,"""Green""",,"""No""",,0.14,,,96.3673336898,,"""Green""",96.3673336898,80982.0,162288.0,,,283.35204160000234,"""Pass""",0.0,,"""Not Disclosed""",,"""Yes""","""Not Disclosed""","""Green""",,"""Yellow""","""No Evidence""",101.00395684414731,,15.22,"""Not Disclosed""",,"""Pass""",0.0,,403.756,418.976,,,,,,,,826063.8911685641
"","""BAZALGETTE HOLDINGS LIMITED""","""IID000000002787671""",,,,"""BAZLE""",,true,3281.13,,,,100.0,"""Green""",,"""No""",,,,,,,"""Green""",,176.0,49.0,,,502.86291029936683,"""Pass""",28.5714285714,,"""Not Disclosed""",,"""Not Disclosed""","""Not Disclosed""","""Green""",,"""Green""","""No Evidence""",,,,"""Not Disclosed""",,"""Pass""",0.0,,,,,,,,,,,3535.126259404549
"","""BANDHAN BANK LIMITED""","""IID000000002790104""",,"""INE545U01014""","""335800Q13QAC32IOCH33""","""BANDHANBNK""",,true,483690.72,,,,0.0,"""Green""",,"""No""",,,,,,,"""Green""",,1922.0,9406.0,,,250.0102513081037,"""Pass""",15.3846153846,,"""Not Disclosed""",,"""Yes""","""Not Disclosed""","""Green""",,"""Green""","""No Evidence""",59.90525944699268,,,"""Not Disclosed""",,"""Pass""",0.0,,,,,,,,,,,495018.72470390145
"","""BRIGHTHOUSE FINANCIAL, INC.""","""IID000000002790123""",,"""US10922N1037""","""5493003T8SZSHOGGAW52""","""BHF""",,true,718442.78,,,,100.0,"""Green""",,"""No""",,,,,,,"""Green""",,1561.0,9499.0,,,97.79765093391755,"""Pass""",37.5,,"""Not Disclosed""",,"""Yes""","""Not Disclosed""","""Green""",,"""Green""","""No Evidence""",51.84754132836116,,,"""Not Disclosed""",,"""Pass""",0.0,,,,,,,,,,,616711.986789284
"","""BANDWIDTH INC.""","""IID000000002790126""",,"""US05988J1034""","""549300QC70JB7MUGXM66""","""BAND""",,true,65494.97,,,,0.0,"""Green""",,"""No""",,,,,,,"""Green""",,3734.0,36629.0,,,239.98205544011498,"""Pass""",16.6666666667,,"""Not Disclosed""",,"""Yes""","""Not Disclosed""","""Green""",,"""Green""","""No Evidence""",51.0514688370704,,,"""Not Disclosed""",,"""Pass""",15.68,,,,,,,,,,,103596.19313762512
"","""G-bits Network Technology Xiamen Co Ltd""","""IID000000002793958""",,"""CNE100002GK7""",,"""603444""",,true,169392.12,,,,0.0,"""Green""",,"""No""",,,,,,,"""Green""",,115.0,2235.0,,,246.57202388194736,"""Pass""",28.5714285714,,"""Not Disclosed""",,"""Yes""","""Not Disclosed""","""Green""",,"""Green""","""No Evidence""",54.87161592591627,,,"""Not Disclosed""",,"""Pass""",0.0,,,,,,,,,,,171742.12197036605
