CLIENT_IDENTIFIER,ISSUER_NAME,ISSUERID,CIK_NUM,ISSUER_ISIN,ISSUER_LEI,ISSUER_TICKER,AE_DIST_MAX_REV_PCT,ESG_CONTROVERSIES_COVERED,CARBON_EMISSIONS_SCOPE_3_TOTAL,GENERAT_THERMAL_COAL_PCT,FIREARM_PROD_MAX_REV_PCT,IVA_COMPANY_RATING,EU_TAXONOMY_ELIGIBLE_MAX_REV,ENVIRONMENT_TOXIC_FLAG,AE_PROD_MAX_REV_PCT,CONTRO_WEAP_CBLMBW_ANYTIE,FIREARM_RET_MAX_REV_PCT,ENERGY_CONSUMP_INTEN_EUR,GENDER_PAY_GAP_RATIO,MET_COAL_MAX_REV_PCT,PCT_NONRENEW_CONSUMP_PROD,PROD_CIV_ARMS_AUTO,ENVIRONMENT_LAND_FLAG,PCT_TOTL_ERGY_CONSUMP_NONRENEW,CARBON_EMISSIONS_SCOPE_1,CARBON_EMISSIONS_SCOPE_2,TOB_DIST_MAX_REV_PCT,PCT_TOTL_ERGY_PRODUCT_NONRENEW,CARBON_EMISSIONS_SALES_EUR_SCOPE123_INTEN,LABOR_COMPLIANCE_CORE,FEMALE_DIRECTORS_PCT,ANI_TEST_POLICY,OPS_PROT_BIODIV_AREAS,IVA_RATING_TREND,LABOR_DDIL_POL_ILO,ACTIVE_FF_SECTOR_EXPOSURE,ENVIRONMENT_CLIMATE_FLAG,WATER_EM_EFF_METRIC_TONS,OVERALL_FLAG,MECH_UN_GLOBAL_COMPACT,CARBON_EMISSIONS_EVIC_EUR_SCOPE123_INTEN,THERMAL_COAL_MAX_REV_PCT,TOTL_ERGY_CONSUMP_RENEW_GWH,OPS_PROT_BIODIV_CONTROVS,ANI_FACTORY_FARM,UNGC_COMPLIANCE,EST_EU_TAXONOMY_MAX_REV,PRED_LEND_MAX_REV,TOTL_ERGY_CONSUMP_NONRENEW_GWH,TOTL_ERGY_CONSUMP_GWH,CWEAP_TIE,FUR_PRODUCER,NON_PHARMCEUTICAL_TESTER,TOB_SUPP_MAX_REV_PCT,CONV_OIL_GAS_MAX_REV_PCT,HAZARD_WASTE_METRIC_TON,WEAP_MAX_REV_PCT,CARBON_EMISSIONS_SCOPE123
"","""POWER FINANCE CORPORATION LIMITED""","""IID000000002128610""",,"""INE134E01011""","""3358003Q6D9LIJJZ1614""","""PFC""",,true,1635970.99,,,"""BB""",0.0,"""Green""",,"""No""",,,,,,,"""Green""",,15114.0,38407.0,,,186.41044541732887,"""Pass""",28.5714285714,,"""Not Disclosed""",0,"""Yes""","""Not Disclosed""","""Green""",,"""Yellow""","""No Evidence""",19.926379842144144,,,"""Not Disclosed""",,"""Pass""",0.0,,,,,,,,,,,1689491.9897619227
"","""Federal National Mortgage Association""","""IID000000002133641""",,"""US3135861090""","""B1V7KEBTPIMZEU4LTD58""","""FNMA""",,true,5.658406567E7,,,"""A""",0.0,"""Green""",,"""No""",,,,,,,"""Green""",,47604.0,144006.0,,,503.6392035167971,"""Pass""",41.6666666667,,"""Not Disclosed""",0,"""Yes""","""Not Disclosed""","""Green""",,"""Green""","""No Evidence""",13.835734149378151,,,"""Not Disclosed""",,"""Pass""",0.0,,,,,,,,,,,5.677567566503902E7
"","""INDUSTRIAL BANK OF KOREA""","""IID000000002135132""",,"""KR7024110009""","""988400RBIWE3YA18PK12""","""024110""",,true,9100493.26,,,"""BBB""",0.0,"""Green""",,"""No""",,0.02,,,99.9277649023,,"""Green""",99.9277649023,8120.0,48986.0,,,1170.679111912889,"""Pass""",16.6666666667,,"""Not Disclosed""",1,"""Yes""","""Not Disclosed""","""Green""",,"""Yellow""","""Yes""",62.282882922238066,,0.088129,"""Not Disclosed""",,"""Pass""",0.0,,121.91489,122.003019,,,,,,,,9157599.263660358
"","""FEDERAL AGRICULTURAL MORTGAGE CORPORATION""","""IID000000002140247""",,"""US3131483063""","""549300MS654K78GYF580""","""AGM""",,true,294168.94,,,"""BBB""",0.0,"""Green""",,"""No""",,,,,,,"""Green""",,241.0,478.0,,,406.71759409593375,"""Pass""",20.0,,"""Not Disclosed""",-1,"""Yes""","""Not Disclosed""","""Green""",,"""Green""","""No Evidence""",7.058966658542091,,,"""Not Disclosed""",,"""Pass""",0.0,,,,,,,,,,,158388.10562903524
"","""Banco Latinoamericano de Comercio Exterior, S.A.""","""IID000000002149320""",,"""PAP169941328""","""549300CN3134K4LC0651""","""BLX""",,true,563756.05,,,"""AA""",0.0,"""Green""",,"""No""",,,,,,,"""Green""",,112.0,786.0,,,3242.4478583887885,"""Pass""",44.4444444444,,"""Not Disclosed""",0,"""Yes""","""Not Disclosed""","""Green""",,"""Green""","""Yes""",109.09818003621928,,,"""Not Disclosed""",,"""Pass""",0.0,,,,,,,,,,,457198.8340595845
"","""Freddie Mac""","""IID000000002166961""",,"""US3134003017""","""S6XOOCT0IEG5ABCC6L87""","""FHLMC""",,true,4.271243761E7,,,"""BB""",0.0,"""Green""",,"""No""",,,,,,,"""Green""",,35928.0,71227.0,,,662.8125482060697,"""Pass""",23.0769230769,,"""Not Disclosed""",0,"""Yes""","""Not Disclosed""","""Green""",,"""Green""","""No Evidence""",15.398423505589577,,,"""Not Disclosed""",,"""Pass""",0.0,,,,,,,,,,,3.840839017031618E7
"","""KOREA ELECTRIC POWER CORPORATION""","""IID000000002172983""",,"""KR7015760002""","""988400QG33WS7JEIV602""","""015760""",,true,3.540275472E7,40.6,,"""BB""",59.99,"""Yellow""",,"""No""",,0.04,,,97.4201950925,,"""Green""",0.0,2.02694665E8,8442882.0,,97.9037885833,5502.032334087589,"""Pass""",7.1428571429,,"""Not Disclosed""",0,"""Yes""","""Not Disclosed""","""Green""",,"""Orange""","""Yes""",3310.656715146934,,4.88775,"""Not Disclosed""",,"""Pass""",3.0,,0.0,1941.1111112664,,,,,,,,2.4654030172326246E8
"","""KoreaGasCorporation""","""IID000000002172990""",,"""KR7036460004""","""988400TFZILHBD5M3R71""","""036460""",,true,6.103624304E7,,,"""BBB""",0.0,"""Green""",,"""No""",,0.18,,,100.0,,"""Green""",100.0,279215.0,408452.0,,,3031.9388920418437,"""Pass""",25.0,,"""Not Disclosed""",1,"""Yes""","""Yes""","""Green""",,"""Yellow""","""Yes""",2593.4699305184877,,,"""Not Disclosed""",,"""Pass""",0.0,,3683.333333628,3683.333333628,,,,,4.08,,,6.172391004415808E7
"","""NTPC LIMITED""","""IID000000002176617""",,"""INE733E01010""","""335800Q4TRGJXNLVMB81""","""NTPC""",,true,8.109991034E7,94.25,,"""CCC""",10.98,"""Green""",,"""No""",,59.77,,,26.5853015652,,"""Green""",,3.3648E8,69933.0,,95.9394199964,21163.059265622607,"""Pass""",8.3333333333,,"""Yes""",0,"""Yes""","""Yes""","""Green""",,"""Yellow""","""Yes""",8286.5334553398,,,"""Not Disclosed""",,"""Pass""",2.69,,,940489.6139641281,,,,,,,,4.1764984334305775E8
"","""OIL AND NATURAL GAS CORPORATION LIMITED""","""IID000000002178040""",,"""INE213A01029""","""335800FPDZ9MRSNO7N41""","""ONGC""",,true,2.7736650727E8,,,"""B""",80.99,"""Yellow""",,"""No""",,1.38,,,49.8282805528,,"""Green""",48.7846960297,8920000.0,210000.0,,87.9954847357,4916.814181955981,"""Pass""",23.0769230769,,"""Not Disclosed""",0,"""Yes""","""Yes""","""Green""",,"""Orange""","""Yes""",6862.135907647176,,97.6800000781,"""Not Disclosed""",,"""Pass""",0.01,,39362.7355870457,80686.6472286772,,,,,19.0,26360.0,,2.864965072704782E8
