CLIENT_IDENTIFIER,ISSUER_NAME,ISSUERID,CIK_NUM,ISSUER_ISIN,ISSUER_LEI,ISSUER_TICKER,AE_DIST_MAX_REV_PCT,ESG_CONTROVERSIES_COVERED,CARBON_EMISSIONS_SCOPE_3_TOTAL,GENERAT_THERMAL_COAL_PCT,FIREARM_PROD_MAX_REV_PCT,IVA_COMPANY_RATING,EU_TAXONOMY_ELIGIBLE_MAX_REV,ENVIRONMENT_TOXIC_FLAG,AE_PROD_MAX_REV_PCT,CONTRO_WEAP_CBLMBW_ANYTIE,FIREARM_RET_MAX_REV_PCT,ENERGY_CONSUMP_INTEN_EUR,GENDER_PAY_GAP_RATIO,MET_COAL_MAX_REV_PCT,PCT_NONRENEW_CONSUMP_PROD,PROD_CIV_ARMS_AUTO,ENVIRONMENT_LAND_FLAG,PCT_TOTL_ERGY_CONSUMP_NONRENEW,CARBON_EMISSIONS_SCOPE_1,CARBON_EMISSIONS_SCOPE_2,TOB_DIST_MAX_REV_PCT,PCT_TOTL_ERGY_PRODUCT_NONRENEW,CARBON_EMISSIONS_SALES_EUR_SCOPE123_INTEN,LABOR_COMPLIANCE_CORE,FEMALE_DIRECTORS_PCT,ANI_TEST_POLICY,OPS_PROT_BIODIV_AREAS,IVA_RATING_TREND,LABOR_DDIL_POL_ILO,ACTIVE_FF_SECTOR_EXPOSURE,ENVIRONMENT_CLIMATE_FLAG,WATER_EM_EFF_METRIC_TONS,OVERALL_FLAG,MECH_UN_GLOBAL_COMPACT,CARBON_EMISSIONS_EVIC_EUR_SCOPE123_INTEN,THERMAL_COAL_MAX_REV_PCT,TOTL_ERGY_CONSUMP_RENEW_GWH,OPS_PROT_BIODIV_CONTROVS,ANI_FACTORY_FARM,UNGC_COMPLIANCE,EST_EU_TAXONOMY_MAX_REV,PRED_LEND_MAX_REV,TOTL_ERGY_CONSUMP_NONRENEW_GWH,TOTL_ERGY_CONSUMP_GWH,CWEAP_TIE,FUR_PRODUCER,NON_PHARMCEUTICAL_TESTER,TOB_SUPP_MAX_REV_PCT,CONV_OIL_GAS_MAX_REV_PCT,HAZARD_WASTE_METRIC_TON,WEAP_MAX_REV_PCT,CARBON_EMISSIONS_SCOPE123
"","""Inageya Co., Ltd.""","""IID000000002170357""",,"""JP3145200006""",,"""8182""",,true,360319.3,,,,0.0,"""Green""",,"""No""",,,,,,,"""Green""",,22017.0,43486.0,,,228.72882684271633,"""Pass""",10.0,,"""Not Disclosed""",,"""Not Disclosed""","""Not Disclosed""","""Green""",,"""Green""","""No Evidence""",779.765784774197,,,"""Not Disclosed""",,"""Pass""",0.0,,,,,,,,,,,425822.29740734125
"","""Inani Securities Ltd""","""IID000000002170359""",,"""INE224C01014""","""984500390CD897C06384""",,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","""Nyesa Valores Corporacion""","""IID000000002170362""",,"""ES0150480194""","""959800V35MGZXBNZP485""","""NYE""",,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","""Visagar Financial Services Ltd""","""IID000000002170364""",,"""INE309H01038""",,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","""Incap Oyj""","""IID000000002170367""",,"""FI0009006407""","""7437004GENTTQHMNQ407""","""ICP1V""",,true,97903.45,,,,100.0,"""Green""",,"""No""",,,,,,,"""Green""",,341.0,5362.0,,,392.8027696767662,"""Pass""",50.0,,"""Not Disclosed""",,"""Yes""","""Not Disclosed""","""Green""",,"""Green""","""Yes""",198.50640154762712,,,"""Not Disclosed""",,"""Pass""",0.0,,,,,,,,,,,103606.44615975302
"","""INCH KENNETH KAJANG RUBBER PUBLIC LIMITED COMPANY""","""IID000000002170368""",,"""GB0004601091""",,"""INCKEN""",,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","""Incheon City Gas Co Ltd""","""IID000000002170371""",,"""KR7034590000""",,"""034590""",,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","""INCITEC PIVOT LIMITED""","""IID000000002170372""",,"""AU000000IPL1""","""254900UW2F3BKV6Z9V18""","""IPL""",,true,3806120.66,,,,41.49,"""Green""",,"""No""",,6.22,,,3.4218382374,,"""Green""",3.4218382374,3550961.0,338223.0,,,1856.1610288427032,"""Pass""",28.5714285714,,"""Not Disclosed""",,"""Yes""","""Yes""","""Green""",,"""Green""","""Yes""",1336.1713323042006,,,"""Not Disclosed""",,"""Pass""",0.0,,576.2886115721,16841.4919579176,,,,,,,,7695304.660432998
"","""LUMIRA ENERGY LIMITED""","""IID000000002170373""",,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","""Incon Engineers Ltd""","""IID000000002170377""",,"""INE507D01010""",,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
